file,devirt_sites,specialized_functions,cross_module_rewrites,lto_internalized
tests/interproc/devirt_positive.vit,6,1,2,2
tests/interproc/edge_recursive_chain.vit,1,2,2,1
tests/interproc/lto_symbols.vit,2,2,3,5
tests/interproc/specialization_positive.vit,3,5,3,2
tests/interproc/wpo_cross_module.vit,4,3,6,4
