# command<TAB>required_usage_fragment<TAB>note
cat	usage: cat [-benstv]	POSIX-like short options
cp	usage: cp [-Rfinpvsl]	POSIX+BSD subset
mv	usage: mv [-fhinv]	POSIX+BSD subset
rm	usage: rm [-dfiRrv]	POSIX+BSD subset
ln	usage: ln [-FLPfhinsvw]	POSIX+BSD subset
chmod	usage: chmod [-fhv] [-R [-H | -L | -P]]	POSIX+BSD subset
echo	usage: echo [-n]	POSIX-like subset
pwd	usage: pwd [-L | -P]	POSIX
ls	usage: ls [-1AaFfGhilnprRSt]	BSD subset
test	usage: test expression	POSIX-style form
