file,cfg_blocks,alias_classes,points_to_sets
tests/analysis/edge_loop_phi.vit,5,3,4
tests/analysis/edge_pointer_alias.vit,3,3,4
tests/analysis/edge_unreachable.vit,4,3,4
tests/analysis/positive_branching.vit,5,2,3
tests/analysis/positive_linear.vit,7,3,4
