benchmark,target,unit,measured,status
async_spawn_10k,100,ms,82.4,PASS
thread_pool_throughput,50,us_per_task,44.1,PASS
string_concat_1gb,2,s,1.78,PASS
json_serialize_1m,500,ms,463.7,PASS
http_latency,5,ms,4.21,PASS
