target,os_name,arch,calling_convention,pointer_size,int_alignment,pointer_alignment,float_alignment,arg_registers,return_register,preserve_registers
linux-x86_64,linux,x86_64,sysv_x64,8,4,8,8,rdi|rsi|rdx|rcx|r8|r9,rax,rbx|rbp|r12|r13|r14|r15
linux-arm64,linux,arm64,aapcs_arm64,8,4,8,8,x0|x1|x2|x3|x4|x5|x6|x7,x0,x19|x20|x21|x22|x23|x24|x25|x26|x27|x28
linux-riscv64,linux,riscv64,riscv64_lp64d,8,4,8,8,a0|a1|a2|a3|a4|a5|a6|a7,a0,s0|s1|s2|s3|s4|s5|s6|s7|s8|s9|s10|s11
macos-x86_64,macos,x86_64,sysv_x64,8,4,8,8,rdi|rsi|rdx|rcx|r8|r9,rax,rbx|rbp|r12|r13|r14|r15
macos-arm64,macos,arm64,aapcs_arm64,8,4,8,8,x0|x1|x2|x3|x4|x5|x6|x7,x0,x19|x20|x21|x22|x23|x24|x25|x26|x27|x28
windows-x86_64,windows,x86_64,ms_x64,8,4,8,8,rcx|rdx|r8|r9,rax,rbx|rbp|rsi|rdi|r12|r13|r14|r15
