file,score,words,links,vitte_examples,invalid_examples
docs/compiler/architecture.md,100,746,40,0,0
docs/compiler/pipeline.md,100,592,1,1,0
docs/COMPILER_DRIVER_MIGRATION.md,100,676,0,1,2
docs/bootstrap_contracts.md,100,477,0,0,0
docs/MAKE_TARGETS.md,100,712,0,0,0
docs/bootstrap_migration_checklist.md,85,330,0,0,0
